review_order	open_this_file	WHAT_TO_FILL_ON_THIS_ROW	row_kind	priority	content_sha256	promoted_in_release	title	source_path	risk_tier	signal_classes	finding_count	pages	finding_id	pattern_id	page	extraction_path	review_bundle_dir	prior_v1_decision_not_extended	currentness_declared	allowed_options	HUMAN_DECISION	FINDING_DISPOSITION	JUSTIFICATION_CATEGORY	REVIEWER_LOGIN	EVIDENCE_REFERENCE	COMMENT
41	$NEXUS_PII_REVIEW_ROOT/6a7942128b8404ac0b98e819c0f1482a6bac353bd2ea5a6269f7081676a65150/pages/page-0003.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	6a7942128b8404ac0b98e819c0f1482a6bac353bd2ea5a6269f7081676a65150	true			MOYEN				f968b36b71b41d048348a7fd039b2ff8f39d3a752ad47ebb5f7e5b41b07ca9a3	postal_address	3	NATIVE_TEXT	6a7942128b8404ac0b98e819c0f1482a6bac353bd2ea5a6269f7081676a65150			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
42	$NEXUS_PII_REVIEW_ROOT/936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a	true	les-circuits-pdf-4-51-mo--936c1e54b1	01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/80_A_VERIFIER/NSI/09_AUTRES/2021/les-circuits-pdf-4-51-mo--936c1e54b1.pdf	MOYEN	postal_address|student_name_pattern	2	12|14					936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
43	$NEXUS_PII_REVIEW_ROOT/936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a/pages/page-0012.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a	true			MOYEN				4fedf8a2646f2b30f65953f2403a7701416e959451531308ef60ff53042ab7be	student_name_pattern	12	NATIVE_TEXT	936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
44	$NEXUS_PII_REVIEW_ROOT/936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a/pages/page-0014.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a	true			MOYEN				8048421a6d460eb4639c844e9c966df1a11e9682d23c158d318d6a4d2da79cc3	postal_address	14	NATIVE_TEXT	936c1e54b1099bfb06a30ed68c743c9e3d1b51db4158ef7e5a4ae786caad080a			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
45	$NEXUS_PII_REVIEW_ROOT/93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d	true	diversite-et-unite-des-langages-de-programmation-pdf-161-08-ko--93b7e44627	01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/80_A_VERIFIER/NSI/07_DIAPORAMAS_SUPPORTS/2019/diversite-et-unite-des-langages-de-programmation-pdf-161-08-ko--93b7e44627.pdf	MOYEN	postal_address	1	5					93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
46	$NEXUS_PII_REVIEW_ROOT/93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d/pages/page-0005.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d	true			MOYEN				7b7b4c3f6c932354796483944130d2abc2c5dbe46dcac6abfad360e7ad7891b8	postal_address	5	NATIVE_TEXT	93b7e446273c0d36863ab8f86a39fb91dccb920ebd00e5be020f559253f9a17d			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
47	$NEXUS_PII_REVIEW_ROOT/d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2	true	securisation-des-communications-pdf-874-59-ko--d05da0bb13	01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/80_A_VERIFIER/NSI/03_RESSOURCES_ACCOMPAGNEMENT/2021/securisation-des-communications-pdf-874-59-ko--d05da0bb13.pdf	MOYEN	postal_address	3	7					d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
48	$NEXUS_PII_REVIEW_ROOT/d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2/pages/page-0007.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2	true			MOYEN				4583963bffe6842c9a33f9e64bebda591fde4dc8d5b9502be9116871d2ce287e	postal_address	7	NATIVE_TEXT	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
49	$NEXUS_PII_REVIEW_ROOT/d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2/pages/page-0007.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2	true			MOYEN				bb950d4c531e80ca38ad275061407b0406b958b73f9913fc91e9a9e29a0670d5	postal_address	7	NATIVE_TEXT	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
50	$NEXUS_PII_REVIEW_ROOT/d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2/pages/page-0007.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2	true			MOYEN				cd68c951333a33be04cc5af90101e49267a2ae50d7e08a55b7012edbd8ed3f7e	postal_address	7	NATIVE_TEXT	d05da0bb13bdad4745e0310f24bdab1bcd7df5bfa0a99fbc7ae4238898e220b2			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
